geography,firmsize,year,quarter,Emp,EmpEnd,sEmp,sEmpEnd
6085,0,1991,3,,682778,-1,1
6085,1,1991,3,,123315,-1,1
6085,2,1991,3,,66285,-1,1
6085,3,1991,3,,110659,-1,1
6085,4,1991,3,,38904,-1,1
6085,5,1991,3,,343614,-1,1
6087,0,1991,3,,75622,-1,1
6087,1,1991,3,,26743,-1,1
6087,2,1991,3,,11844,-1,1
6087,3,1991,3,,12536,-1,1
6087,4,1991,3,,3315,-1,1
6087,5,1991,3,,21184,-1,1
6089,0,1991,3,,42011,-1,1
6089,1,1991,3,,15676,-1,1
6089,2,1991,3,,6356,-1,1
6089,3,1991,3,,5208,-1,1
6089,4,1991,3,,941,-1,1
6089,5,1991,3,,13831,-1,1
6091,0,1991,3,,464,-1,1
6091,1,1991,3,,306,-1,1
6091,2,1991,3,,,-1,5
6091,3,1991,3,,,-1,5
6091,5,1991,3,,,-1,5
6093,0,1991,3,,10891,-1,1
6093,1,1991,3,,5062,-1,1
6093,2,1991,3,,1175,-1,1
6093,3,1991,3,,1596,-1,1
6093,4,1991,3,,247,-1,9
6093,5,1991,3,,2811,-1,1
6095,0,1991,3,,66674,-1,1
6095,1,1991,3,,18038,-1,1
6095,2,1991,3,,7959,-1,1
6095,3,1991,3,,11496,-1,1
6095,4,1991,3,,5071,-1,1
6095,5,1991,3,,24110,-1,1
6097,0,1991,3,,114890,-1,1
6097,1,1991,3,,41530,-1,1
6097,2,1991,3,,18812,-1,1
6097,3,1991,3,,20578,-1,1
6097,4,1991,3,,5406,-1,1
6097,5,1991,3,,28565,-1,1
6099,0,1991,3,,109397,-1,1
6099,1,1991,3,,32751,-1,1
6099,2,1991,3,,14039,-1,1
6099,3,1991,3,,19030,-1,1
6099,4,1991,3,,3235,-1,1
6099,5,1991,3,,40342,-1,1
6101,0,1991,3,,16401,-1,1
6101,1,1991,3,,7416,-1,1
6101,2,1991,3,,2890,-1,1
6101,3,1991,3,,2767,-1,1
6101,4,1991,3,,966,-1,1
6101,5,1991,3,,2362,-1,1
6103,0,1991,3,,10084,-1,1
6103,1,1991,3,,4170,-1,1
6103,2,1991,3,,1178,-1,1
